pulse,snr,sir,alpha,L,trunc,joint,ber05,ber10,ber20,ber25
RC,15.0,10.0,0.22,2,5,False,3.959115352225595e-08,5.777383743632569e-08,2.431622171950032e-07,6.631247266852824e-07
BTRC,15.0,10.0,0.22,2,5,False,3.973537232582203e-08,5.859906926364289e-08,2.5594789210270363e-07,7.141352075801244e-07
ELP,15.0,10.0,0.22,2,5,False,4.0164780390483656e-08,6.110371342238352e-08,2.97425685746866e-07,8.863963406602338e-07
IPLCP,15.0,10.0,0.22,2,5,False,3.754538230316129e-08,4.686513127571956e-08,1.1022550600037206e-07,2.0276626155890654e-07
RC,15.0,10.0,0.22,2,10,False,3.959115352225595e-08,5.777383743632569e-08,2.431622171950032e-07,6.631247266852824e-07
BTRC,15.0,10.0,0.22,2,10,False,3.973537232582203e-08,5.859906926364289e-08,2.5594789210270363e-07,7.141352075801244e-07
ELP,15.0,10.0,0.22,2,10,False,4.0164780390483656e-08,6.110371342238352e-08,2.97425685746866e-07,8.863963406602338e-07
IPLCP,15.0,10.0,0.22,2,10,False,3.754538230316129e-08,4.686513127571956e-08,1.1022550600037206e-07,2.0276626155890654e-07
RC,15.0,10.0,0.35,2,5,False,3.9797817041886674e-08,5.895877330797106e-08,2.616500699992308e-07,7.371962076896388e-07
BTRC,15.0,10.0,0.35,2,5,False,4.016562016317948e-08,6.11102518033313e-08,2.9764899367457076e-07,8.8770459844012e-07
ELP,15.0,10.0,0.35,2,5,False,4.053407187676328e-08,6.331722435248821e-08,3.3768092094765834e-07,1.0631527186943934e-06
IPLCP,15.0,10.0,0.35,2,5,False,3.754538230316129e-08,4.686513127571956e-08,1.1022550600037206e-07,2.0276626155890654e-07
RC,15.0,10.0,0.35,2,10,False,3.9797817041886674e-08,5.895877330797106e-08,2.616500699992308e-07,7.371962076896388e-07
BTRC,15.0,10.0,0.35,2,10,False,4.016562016317948e-08,6.11102518033313e-08,2.9764899367457076e-07,8.8770459844012e-07
ELP,15.0,10.0,0.35,2,10,False,4.053407187676328e-08,6.331722435248821e-08,3.3768092094765834e-07,1.0631527186943934e-06
IPLCP,15.0,10.0,0.35,2,10,False,3.754538230316129e-08,4.686513127571956e-08,1.1022550600037206e-07,2.0276626155890654e-07
RC,15.0,10.0,0.5,2,5,False,4.015579641025724e-08,6.105137728695809e-08,2.965727647907812e-07,8.829342031391185e-07
BTRC,15.0,10.0,0.5,2,5,False,4.091630012581504e-08,6.567164495541178e-08,3.8475251262770627e-07,1.282040140881957e-06
ELP,15.0,10.0,0.5,2,5,False,4.117703555905905e-08,6.730449153558027e-08,4.191631106098548e-07,1.4464131196101349e-06
IPLCP,15.0,10.0,0.5,2,5,False,3.754538230316129e-08,4.686513127571956e-08,1.1022550600037206e-07,2.0276626155890654e-07
RC,15.0,10.0,0.5,2,10,False,4.015579641025724e-08,6.105137728695809e-08,2.965727647907812e-07,8.829342031391185e-07
BTRC,15.0,10.0,0.5,2,10,False,4.091630012581504e-08,6.567164495541178e-08,3.8475251262770627e-07,1.282040140881957e-06
ELP,15.0,10.0,0.5,2,10,False,4.117703555905905e-08,6.730449153558027e-08,4.191631106098548e-07,1.4464131196101349e-06
IPLCP,15.0,10.0,0.5,2,10,False,3.754538230316129e-08,4.686513127571956e-08,1.1022550600037206e-07,2.0276626155890654e-07
