pulse,snr,alpha,joint,ber05,ber10,ber20,ber25
RC,10.0,0.22,False,1.09e-03,2.41e-03,1.46e-02,3.12e-02
BTRC,10.0,0.22,False,1.04e-03,2.12e-03,1.18e-02,2.56e-02
ELP,10.0,0.22,False,9.76e-04,1.73e-03,8.26e-03,1.81e-02
IPLCP,10.0,0.22,False,8.29e-04,9.94e-04,2.14e-03,3.74e-03
RC,10.0,0.35,False,1.03e-03,2.03e-03,1.10e-02,2.39e-02
BTRC,10.0,0.35,False,9.71e-04,1.70e-03,8.00e-03,1.75e-02
ELP,10.0,0.35,False,9.39e-04,1.54e-03,6.61e-03,1.44e-02
IPLCP,10.0,0.35,False,8.22e-04,9.60e-04,1.92e-03,3.27e-03
RC,10.0,0.50,False,9.73e-04,1.71e-03,8.08e-03,1.76e-02
BTRC,10.0,0.50,False,9.09e-04,1.39e-03,5.44e-03,1.19e-02
ELP,10.0,0.50,False,8.99e-04,1.34e-03,5.04e-03,1.10e-02
IPLCP,10.0,0.50,False,8.13e-04,9.20e-04,1.65e-03,2.67e-03
RC,15.0,0.22,False,9.10e-08,3.53e-06,1.27e-03,8.29e-03
BTRC,15.0,0.22,False,6.62e-08,1.74e-06,5.29e-04,4.13e-03
ELP,15.0,0.22,False,4.08e-08,5.90e-07,1.16e-04,1.07e-03
IPLCP,15.0,0.22,False,1.34e-08,3.59e-08,7.11e-07,4.15e-06
RC,15.0,0.35,False,6.00e-08,1.39e-06,3.91e-04,3.20e-03
BTRC,15.0,0.35,False,3.93e-08,5.40e-07,1.01e-04,9.35e-04
ELP,15.0,0.35,False,3.07e-08,3.11e-07,4.37e-05,4.20e-04
IPLCP,15.0,0.35,False,1.24e-08,2.84e-08,4.49e-07,2.51e-06
RC,15.0,0.50,False,3.97e-08,5.49e-07,1.02e-04,9.47e-04
BTRC,15.0,0.50,False,2.41e-08,1.86e-07,2.09e-05,2.02e-04
ELP,15.0,0.50,False,2.18e-08,1.43e-07,1.34e-05,1.31e-04
IPLCP,15.0,0.50,False,1.13e-08,2.05e-08,2.27e-07,1.18e-06
